ID,Country,City,Phase,Line,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform Length (Meters),Source1,Cost,Currency,Year,PPP rate,Real cost,Cost/km (Millions),Cheap?,Clength,Ctunnel,Anglo?,Inflation Index,Real cost (2021 dollars),Cost/km (2021 dollars),Source2,Reference,...32,...33
7147,US,Seattle,,U-Link,2009,2016,0,5.1,1,5.1,0,0,2,,Media,1756,USD,2012,1,1756,344.313725490196,0,0,0,1,1.18021376865249,2072.45537775377,406.363799559564,Plan,https://www.soundtransit.org/sites/default/files/documents/2018-q3-link-light-rail_0.pdf,,
7152,US,Los Angeles,Purple Line,Purple Phase 3,2020,2027,0,4.2,1,4.2,0,0,2,,Media,3600,USD,2023,1,3600,857.142857142857,0,0,0,1,1,3600,857.142857142857,Media,https://la.streetsblog.org/2020/03/24/metro-signs-1-3-billion-full-funding-grant-agreement-for-westside-subway-phase-3/,,
7153,US,Los Angeles,Purple Line,Purple Phase 2,2018,2026,0,4.2,1,4.2,0,0,2,,Trade,2400,USD,2021,1,2400,571.428571428571,0,0,0,1,1,2400,571.428571428571,Trade,https://www.railjournal.com/in_depth/transit-projects-fly-in-the-city-of-angels,,
7154,US,Los Angeles,Purple Line,Purple Phase 1,2014,2024,0,6.3,1,6.3,0,0,3,,Media,2800,USD,2018,1,2800,444.444444444444,0,0,0,1,1.07910173750632,3021.4848650177,479.600772225032,Media,https://la.streetsblog.org/2018/04/25/metro-celebrates-purple-line-extension-1-tunnel-machines-set-to-start-in-august/,,
7155,US,Los Angeles,,Regional Connector,2014,2022,0,3.1,1,3.1,0,0,3,,Plan,1756,USD,2018,1,1756,566.451612903226,0,0,0,1,1.07910173750632,1894.9026510611,611.25891969713,Plan,https://www.metro.net/projects/connector/,,
7160,US,San Francisco,,Central Subway,2010,2021,0,2.7,1,2.7,0,0,4,,Media,1670,USD,2014,1,1670,618.518518518519,0,0,0,1,1.14460834009192,1911.4959279535,707.961454797593,Media,https://www.sfchronicle.com/bayarea/article/Central-Subway-tab-likely-to-grow-by-55M-as-14447857.php,,
7161,US,Boston,,Green Line Extension,2013,2022,0,7.6,0,0,0.78,6.82,7,,Plan,2289,USD,2020,1,2289,301.184210526316,0,0,0,1,1.04698022881562,2396.53774375896,315.333913652495,Plan,https://www.ctps.org/data/pdf/plans/TIP/FFYs-2020-2024-Final-TIP-20190730.pdf,,
7163,US,San Francisco,,BART to San Jose,2022,2030,0,9.6,0.83,8,0,0,4,,Plan,9100,USD,2026,1,9100,947.916666666667,0,0,0,1,1,9100,947.916666666667,Media,https://www.mercurynews.com/2021/10/25/federal-government-awards-2-3-billion-for-barts-san-jose-extension/,,
7408,US,New York,,7 extension,2007,2014,0,1.6,1,1.6,0,0,1,,Measured,2400,USD,2010,1,2400,1500,0,0,0,1,1.24266243533771,2982.38984481051,1863.99365300657,Plan,http://web.mta.info/nyct/service/new7LineExtension_to11Avenue.htm,,
7409,US,New York,Second Avenue,Second Avenue Phase 1,2007,2016,0,2.7,1,2.7,0,0,3,187,Measured,4601,USD,2011,1,4601,1704.07407407407,0,0,0,1,1.20463770177693,5542.53806587564,2052.79187625024,Media,http://web.mta.info/capitaldashboard/CPDMega.html,,
7410,US,New York,Second Avenue,Second Avenue Phase 2,2019,2029,0,2.6,1,2.6,0,0,3,187,Measured,6300,USD,2024,1,6300,2423.07692307692,0,0,0,1,1,6300,2423.07692307692,Trade,https://www.transit.dot.gov/sites/fta.dot.gov/files/2022-01/NY-New-York-Second-Avenue-Subway-Phase-2-Eng-Profile.pdf,,
7411,US,New York,,East Side Access,2007,2022,1,2.8,1,2.8,0,0,1,,Measured,11000,USD,2015,1,11000,3928.57142857143,0,0,0,1,1.14325132796382,12575.764607602,4491.344502715,Media,https://www.nytimes.com/2018/04/25/nyregion/mta-east-side-access-11-billion.html,,
7416,US,New York,,Gateway,2019,2026,1,5.3,1,5.3,0,0,0,,Measured,9500,USD,2023,1,9500,1792.45283018868,0,0,0,1,1,9500,1792.45283018868,Plan,https://www.masstransitmag.com/rail/infrastructure/press-release/21094267/gateway-program-the-hudson-tunnel-projects-trims-14-billion-with-new-financial-plan,,
9817,US,Honolulu,,HART,2011,2026,0,32,0,0,0,0,21,,Trade,11371,USD,2018,1,11371,355.34375,0,0,0,1,1.07910173750632,12270.4658571844,383.452058037012,Media,https://www.hawaiibusiness.com/hart-history-hawaii-rail-project-when-finished-budget/,,
9818,US,Los Angeles,,Crenshaw/LAX Line,2014,2021,0,13.7,0.34,4.7,0,0,9,,Wiki,2100,USD,2017,1,2100,153.284671532847,0,0,0,1,1.10545855091384,2321.46295691906,169.449850870004,Media,https://la.curbed.com/2019/12/4/20992333/crenshaw-lax-line-opening-map-stops,,
9819,US,Miami,,Metrorail extension to MIA,2009,2012,0,3.9,0,0,3.9,0,1,,Plan,506,USD,2010,1,506,129.74358974359,0,0,0,1,1.24266243533771,628.787192280882,161.227485200226,Plan,https://www.miamidade.gov/transit/improvement-airportlink.asp,,
