longitude,latitude ,station,lines_serviced,system ,open_date,initial_expected_open_date,initial_DEIS_date
-77.076433,38.994713,Connecticut Avenue,Purple,WMATA ,NA,12/1/20,9/1/08
-77.053883,39.000362,Lyttonsville,Purple,WMATA ,NA,12/1/20,9/1/08
-77.037991,38.998425,16th Street–Woodside,Purple,WMATA ,NA,12/1/20,9/1/08
-77.031321,38.993841,Silver Spring,Purple,WMATA ,NA,12/1/20,9/1/08
-77.0245347,38.9953099,Silver Spring Library,Purple,WMATA ,NA,12/1/20,9/1/08
-77.014645,38.9999464,Dale Drive,Purple,WMATA ,NA,12/1/20,9/1/08
-77.00682087,39.00173724,Manchester Place,Purple,WMATA ,NA,12/1/20,9/1/08
-77.00178193,38.99986547,Long Branch,Purple,WMATA ,NA,12/1/20,9/1/08
-76.99524804,38.99994947,Piney Branch Road,Purple,WMATA ,NA,12/1/20,9/1/08
-76.98800857,38.99038676,Takoma–Langley,Purple,WMATA ,NA,12/1/20,9/1/08
-76.9793847,38.98398128,Riggs Road,Purple,WMATA ,NA,12/1/20,9/1/08
-76.95557837,38.98558635,Adelphi Road–UMGC–UMD,Purple,WMATA ,NA,12/1/20,9/1/08
-76.94543276,38.9876317,Campus Drive–UMD,Purple,WMATA ,NA,12/1/20,9/1/08
-76.93695338,38.98571373,Baltimore Avenue–UMD,Purple,WMATA ,NA,12/1/20,9/1/08
-76.9238594,38.9685172,Riverdale Park North–UMD,Purple,WMATA ,NA,12/1/20,9/1/08
-76.92014309,38.96087833,Riverdale Park–Kenilworth,Purple,WMATA ,NA,12/1/20,9/1/08
-76.90238226,38.96204171,Beacon Heights–East Pines,Purple,WMATA ,NA,12/1/20,9/1/08
-76.88545397,38.951707,Glenridge,Purple,WMATA ,NA,12/1/20,9/1/08
-77.04637598,38.83425239,Potomac Yard,"Blue, Yellow",WMATA ,5/19/23,1/1/16,1/2/11
-77.49129547,39.00510972,Ashburn,Silver ,WMATA ,11/15/22,1/1/15,6/1/02
-77.38484541,38.95297435,Herndon,Silver ,WMATA ,11/15/22,1/1/15,6/1/02
-77.4156335,38.96133847,Innovation Center ,Silver ,WMATA ,11/15/22,1/1/15,6/1/02
-77.46005997,38.99345196,Loudoun Gateway,Silver ,WMATA ,11/15/22,1/1/15,6/1/02
-77.35967974,38.95287029,Reston Town Center,Silver ,WMATA ,11/15/22,1/1/15,6/1/02
-77.44815361,38.9559489,Washington Dulles International Airport,Silver,WMATA ,11/15/22,1/1/15,6/1/02
-77.23361078,38.92116301,Greensboro,Silver,WMATA ,7/26/14,1/1/11,6/1/02
-77.2102856,38.92454022,McLean,Silver ,WMATA ,7/26/14,1/1/11,6/1/02
-77.24051086,38.92915158,Spring Hill ,Silver ,WMATA ,7/26/14,1/1/11,6/1/02
-77.22159567,38.92097464,Tysons,Silver ,WMATA ,7/26/14,1/1/11,6/1/02
-77.33959,38.94806,Wiehle-Reston East,Silver,WMATA ,7/26/14,1/1/11,6/1/02
-76.84458,38.9007,Downtown Largo,"Blue, Silver",WMATA ,12/18/04,NA,NA
-76.86855,38.89387,Morgan Boulevard,"Blue, Silver",WMATA ,12/18/04,NA,NA
-77.00240978,38.90766839,NoMa-Gallaudet U,Red,WMATA ,11/20/04,NA,NA
-76.91192,38.82697,Branch Ave,Green,WMATA ,1/13/01,NA,NA
-76.9875,38.84587,Congress Heights,Green,WMATA ,1/13/01,NA,NA
-76.95662697,38.85126864,Naylor Road,Green,WMATA ,1/13/01,NA,NA
-76.97524637,38.84061524,Southern Ave,Green ,WMATA ,1/13/01,NA,NA
-76.93234463,38.84449725,Suitland,Green ,WMATA ,1/13/01,NA,NA
-77.03243,38.92906,Columbia Heights,Green,WMATA ,9/18/99,NA,NA
-77.02419,38.93711,Georgia Ave-Petworth,Green,WMATA ,9/18/99,NA,NA
