inflows,outflows,flows,out_scaled,in_scaled,flow_scaled,population,tract
6342,9086,-2744,6.46230440967283,4.51066856330014,-1.95163584637269,1406,11001000101
105364,21989,83375,6.43517705589699,30.835235586772,24.400058530875,3417,11001000102
116358,5637,110721,1.3722005842259,28.3247322297955,26.9525316455696,4108,11001000201
133323,21342,111981,4.56806506849315,28.5366010273973,23.9685359589041,4672,11001000202
13474,42449,-28975,6.8899529297192,2.1869826326895,-4.7029702970297,6161,11001000300
66937,9664,57273,5.88192331101643,40.7407181984175,34.8587948874011,1643,11001000400
34152,29005,5147,7.57508487855837,8.91930007834944,1.34421519979107,3829,11001000501
7279,24890,-17611,7.28203627852545,2.1296079578701,-5.15242832065535,3418,11001000502
22198,30363,-8165,6.49337040205304,4.74721984602224,-1.7461505560308,4676,11001000600
1242,27909,-26667,8.08487833140209,0.359791425260718,-7.72508690614137,3452,11001000702
2163,15139,-12976,5.00959629384514,0.715751158173395,-4.29384513567174,3022,11001000703
3925,18392,-14467,6.68071195059935,1.42571739920087,-5.25499455139847,2753,11001000704
14121,20758,-6637,6.23925458370905,4.2443642921551,-1.99489029155395,3327,11001000802
8892,12705,-3813,4.00283553875236,2.80151228733459,-1.20132325141777,3174,11001000803
11438,16700,-5262,4.3580375782881,2.9848643006263,-1.3731732776618,3832,11001000804
9454,13604,-4150,5.87138541217091,4.08027621924903,-1.79110919292188,2317,11001000902
51643,12433,39210,2.9588291289862,12.2900999524036,9.33127082341742,4202,11001000903
32827,10399,22428,3.30336721728081,10.4278907242694,7.12452350698856,3148,11001000904
67299,22517,44782,6.18089486686797,18.4735108427121,12.2926159758441,3643,11001001002
2624,16892,-14268,5.42976534876246,0.843458694953391,-4.58630665380906,3111,11001001003
85779,24547,61232,5.47924107142857,19.1470982142857,13.6678571428571,4480,11001001004
63787,29989,33798,5.65830188679245,12.0352830188679,6.37698113207547,5300,11001001100
23757,35124,-11367,6.53956432694098,4.42319865946751,-2.11636566747347,5371,11001001200
4392,26231,-21839,6.30552884615385,1.05576923076923,-5.24975961538462,4160,11001001301
22942,24594,-1652,6.53574275843742,6.09673133138453,-0.439011427052883,3763,11001001303
9466,28781,-19315,7.16301642608263,2.35589845694375,-4.80711796913888,4018,11001001304
5966,22133,-16167,6.79343155310006,1.83118477593616,-4.9622467771639,3258,11001001401
11043,19722,-8679,5.61240751280592,3.14257256687536,-2.46983494593056,3514,11001001402
10960,32596,-21636,5.2949967511371,1.78037686809617,-3.51461988304094,6156,11001001500
39943,28058,11885,6.27555356743458,8.93379557146052,2.65824200402595,4471,11001001600
22279,23230,-951,6.92193087008343,6.63855780691299,-0.283373063170441,3356,11001001702
1236,28546,-27310,6.95904436860068,0.301316431009264,-6.65772793759142,4102,11001001803
2398,34972,-32574,6.35854545454546,0.436,-5.92254545454545,5500,11001001804
13467,31175,-17708,7.41203043271517,3.2018544935806,-4.21017593913457,4206,11001001901
7414,16333,-8919,7.71516296646198,3.50212564950402,-4.21303731695796,2117,11001001902
3579,20188,-16609,6.89952153110048,1.22317156527683,-5.67634996582365,2926,11001002001
