tract,min_dur,min_dist,closest_dur,closest_dist
11001001002,20.3833333333333,0.917764967,Tenleytown-AU,Tenleytown-AU
11001002801,10.0333333333333,0.4676438146,Columbia Heights,Columbia Heights
11001003100,11.0983333333333,0.5172292204,Columbia Heights,Columbia Heights
11001004001,10.7833333333333,0.5025648648,Woodley Park-Zoo/Adams Morgan,Woodley Park-Zoo/Adams Morgan
11001010500,8.695,0.405133892,Federal Center SW,Federal Center SW
11001004600,13.745,0.6405092268,NoMa-Gallaudet U,NoMa-Gallaudet U
11001008803,17.2716666666667,0.8049239934,NoMa-Gallaudet U,NoMa-Gallaudet U
11001009507,14.9616666666667,0.6971161249,Fort Totten,Fort Totten
11001009509,14.13,0.6569755583,Fort Totten,Fort Totten
11001005303,7.90333333333333,0.3682244546,Dupont Circle,Dupont Circle
11001010202,6.61166666666667,0.3083242902,L'Enfant Plaza,L'Enfant Plaza
11001005003,10.0733333333333,0.4694457905,McPherson Square,McPherson Square
11001010201,3.085,0.1421075477,Waterfront,Waterfront
11001000101,14.6133333333333,0.6812090273,Dupont Circle,Dupont Circle
11001003702,8.20333333333333,0.3823295763,Columbia Heights,Columbia Heights
11001008100,15.605,0.7275633039,Eastern Market,Eastern Market
11001000502,13.0183333333333,0.6067066444,Woodley Park-Zoo/Adams Morgan,Woodley Park-Zoo/Adams Morgan
11001001401,20.5716666666667,0.9570356142,Friendship Heights,Friendship Heights
11001001901,23.635,1.1015665088,Takoma,Takoma
11001002202,20.305,0.9445460571,Fort Totten,Fort Totten
11001002702,12.535,0.5841508771,Columbia Heights,Columbia Heights
11001003302,13.2116666666667,0.6154679755,Shaw-Howard U,Shaw-Howard U
11001004801,6.005,0.2796790871,Shaw-Howard U,Shaw-Howard U
11001010800,9.56166666666667,0.4455851441,Farragut West,Farragut West
11001006801,5.77,0.269053643,Stadium-Armory,Stadium-Armory
11001007406,14.4533333333333,0.6717641881,Anacostia,Anacostia
11001007503,13.33,0.6179534595,Anacostia,Anacostia
11001007709,23.925,1.2068888933,Potomac Ave,Potomac Ave
11001007903,15.1183333333333,0.7044483027,Stadium-Armory,Stadium-Armory
11001009700,21.8333333333333,1.1372953413,Congress Heights,Southern Ave
11001009807,32.0433333333333,2.1389453933,Congress Heights,Congress Heights
11001009907,16.6833333333333,0.7775836694,Benning Road,Benning Road
11001002802,3.77166666666667,0.1757237188,Columbia Heights,Columbia Heights
