City,Line,Phase,Start_year,End_year,RR,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform_length_meters,Source1,Cost,Currency,Year,PPP_rate,Real_cost,Cost_km_millions,Anglo,Inflation_index,Real_cost_2023_dollars,Cost_km_2023_dollars,Source2,Reference1,Reference2,Reference3,Comments
Seattle,U-Link,U-Link,2009,2016,0,5.1,100,5.1,0,0,2,NaN,Media,1756,USD,2012,1,1756,344.3137255,1,1.327133984,2330.447276,456.9504464,Plan,https://www.soundtransit.org/sites/default/files/documents/2018-q3-link-light-rail_0.pdf,NaN,NaN,NaN
Los Angeles,Purple Line,Purple Phase 3,2020,2027,0,4.2,100,4.2,0,0,2,NaN,Media,3600,USD,2023,1,3600,857.1428571,1,1,3600,857.1428571,Media,https://la.streetsblog.org/2020/03/24/metro-signs-1-3-billion-full-funding-grant-agreement-for-westside-subway-phase-3/,NaN,NaN,NaN
Los Angeles,Purple Line,Purple Phase 2,2018,2026,0,4.2,100,4.2,0,0,2,NaN,Trade,2400,USD,2021,1,2400,571.4285714,1,1.124486105,2698.766653,642.5634888,Trade,https://www.railjournal.com/in_depth/transit-projects-fly-in-the-city-of-angels,NaN,NaN,NaN
Los Angeles,Purple Line,Purple Phase 1,2014,2024,0,6.3,100,6.3,0,0,3,NaN,Media,2800,USD,2018,1,2800,444.4444444,1,1.21343491,3397.617749,539.3044045,Media,https://la.streetsblog.org/2018/04/25/metro-celebrates-purple-line-extension-1-tunnel-machines-set-to-start-in-august/,NaN,NaN,Cost: There is a cost overrun of unidentified size. https://la.streetsblog.org/2020/06/09/metro-purple-line-extension-section-1-difficult-tunnelling-resulting-in-cost-overruns/
Los Angeles,Regional Connector,Regional Connector,2014,2022,0,3.1,100,3.1,0,0,3,NaN,Plan,1756,USD,2018,1,1756,566.4516129,1,1.21343491,2130.791702,687.352162,Plan,https://www.metro.net/projects/connector/,NaN,NaN,NaN
San Francisco,Central Subway,Central Subway,2010,2021,0,2.7,100,2.7,0,0,4,NaN,Media,1670,USD,2014,1,1670,618.5185185,1,1.287096175,2149.450612,796.0928191,Media,https://www.sfchronicle.com/bayarea/article/Central-Subway-tab-likely-to-grow-by-55M-as-14447857.php,NaN,NaN,NaN
Boston,Green Line,Green Line Extension,2013,2022,0,7.6,0,0,0.78,6.82,7,NaN,Plan,2289,USD,2020,1,2289,301.1842105,1,1.17731472,2694.873394,354.5886045,Plan,https://www.ctps.org/data/pdf/plans/TIP/FFYs-2020-2024-Final-TIP-20190730.pdf,NaN,NaN,"RR?: It's in the same right-of-way as a commuter line so it can plausibly be 1 and not 0., Stations: Only 6 new stops, but Lechmere is rebuilt, so 7., Cost: Including rolling stock, which is $118 million per https://www.railwaygazette.com/long-reads/boston-building-a-better-t/55983.article, for a total balance of 2,182."
San Francisco,BART to San Jose,BART to San Jose,2024,2036,0,9.6,83,8,0,0,4,NaN,Plan,12200,USD,2030,1,12200,1270.833333,1,1,12200,1270.833333,Media,https://www.mercurynews.com/2024/03/11/san-jose-bart-extension-price-tag-balloons-once-again-this-time-by-600-million/,NaN,NaN,NaN
New York,Line 7,7 extension,2007,2014,0,1.6,100,1.6,0,0,1,NaN,Measured,2400,USD,2010,1,2400,1500,1,1.397356642,3353.655942,2096.034963,Plan,http://web.mta.info/nyct/service/new7LineExtension_to11Avenue.htm,NaN,NaN,"Cost: Many sources say $2.1 billion, which is ex ante, see e.g. mention of the cost overrun at https://observer.com/2013/12/whats-missing-from-the-no-7-line-extension/."
New York,Second Avenue,Second Avenue Phase 1,2007,2016,0,2.7,100,2.7,0,0,3,187,Measured,4601,USD,2011,1,4601,1704.074074,1,1.354598358,6232.507044,2308.335942,Media,http://web.mta.info/capitaldashboard/CPDMega.html,NaN,NaN,NaN
