inflows,outflows,flows,out_scaled,in_scaled,flow_scaled,population,tract
293,544,-251,0.386913229018492,0.208392603129445,-0.178520625889047,1406,11001000101
7178,1322,5856,0.386889083991806,2.10067310506292,1.71378402107112,3417,11001000102
6244,472,5772,0.114897760467381,1.51996105160662,1.40506329113924,4108,11001000201
6125,1411,4714,0.30201198630137,1.31100171232877,1.0089897260274,4672,11001000202
852,2711,-1859,0.440025969810096,0.138289238759942,-0.301736731050154,6161,11001000300
13627,676,12951,0.411442483262325,8.29397443700548,7.88253195374315,1643,11001000400
2578,2009,569,0.524680073126143,0.67328284147297,0.148602768346827,3829,11001000501
556,1715,-1159,0.501755412521943,0.162668227033353,-0.33908718548859,3418,11001000502
1534,1961,-427,0.419375534644996,0.328058169375535,-0.0913173652694611,4676,11001000600
87,1832,-1745,0.530706836616454,0.0252027809965238,-0.505504055619931,3452,11001000702
177,945,-768,0.312706816677697,0.0585704831237591,-0.254136333553938,3022,11001000703
289,1229,-940,0.446422084998184,0.104976389393389,-0.341445695604795,2753,11001000704
1035,1431,-396,0.430117222723174,0.311091073038774,-0.1190261496844,3327,11001000802
568,824,-256,0.259609325771897,0.178954001260239,-0.0806553245116572,3174,11001000803
929,1023,-94,0.2669624217119,0.242432150313152,-0.0245302713987474,3832,11001000804
676,885,-209,0.381959430297799,0.291756581786793,-0.0902028485110056,2317,11001000902
3223,828,2395,0.197049024274155,0.767015706806283,0.569966682532128,4202,11001000903
2550,626,1924,0.198856416772554,0.810038119440915,0.611181702668361,3148,11001000904
6479,1551,4928,0.425748009881965,1.77847927532254,1.35273126544057,3643,11001001002
255,1060,-805,0.340726454516233,0.0819672131147541,-0.258759241401479,3111,11001001003
2064,1623,441,0.362276785714286,0.460714285714286,0.0984375,4480,11001001004
4047,1959,2088,0.369622641509434,0.763584905660377,0.393962264150943,5300,11001001100
1732,2242,-510,0.417426922360827,0.322472537702476,-0.0949543846583504,5371,11001001200
352,1793,-1441,0.431009615384615,0.0846153846153846,-0.346394230769231,4160,11001001301
1557,1774,-217,0.471432367791656,0.413765612543184,-0.057666755248472,3763,11001001303
722,1886,-1164,0.469387755102041,0.179691388750622,-0.289696366351419,4018,11001001304
474,1487,-1013,0.456414978514426,0.14548802946593,-0.310926949048496,3258,11001001401
846,1394,-548,0.396698918611269,0.240751280591918,-0.155947638019351,3514,11001001402
882,2212,-1330,0.359324236517219,0.14327485380117,-0.216049382716049,6156,11001001500
3888,1768,2120,0.395437262357414,0.869604115410423,0.474166853053008,4471,11001001600
2006,1782,224,0.530989272943981,0.597735399284863,0.066746126340882,3356,11001001702
96,2005,-1909,0.488785958069235,0.0234032179424671,-0.465382740126768,4102,11001001803
229,2388,-2159,0.434181818181818,0.0416363636363636,-0.392545454545455,5500,11001001804
1709,2168,-459,0.51545411317166,0.406324298621018,-0.109129814550642,4206,11001001901
690,1134,-444,0.535663675011809,0.325932923948984,-0.209730751062825,2117,11001001902
279,1301,-1022,0.444634313055366,0.095352016404648,-0.349282296650718,2926,11001002001
601,2140,-1539,0.525540275049116,0.147593320235756,-0.37794695481336,4072,11001002002
1189,2852,-1663,0.501494636891155,0.209073325127484,-0.292421311763672,5687,11001002101
929,2544,-1615,0.498921357128849,0.182192586781722,-0.316728770347127,5099,11001002102
222,1859,-1637,0.533428981348637,0.0637015781922525,-0.469727403156385,3485,11001002201
93,1753,-1660,0.525007487271638,0.0278526504941599,-0.497154836777478,3339,11001002202
150,1739,-1589,0.532455603184323,0.0459277403551745,-0.486527862829149,3266,11001002301
3901,703,3198,0.398978433598184,2.21396140749149,1.8149829738933,1762,11001002302
430,2250,-1820,0.54945054945055,0.105006105006105,-0.444444444444444,4095,11001002400
345,1369,-1024,0.509300595238095,0.128348214285714,-0.380952380952381,2688,11001002501
770,1382,-612,0.455955130320026,0.254041570438799,-0.201913559881227,3031,11001002503
259,1968,-1709,0.58763810092565,0.0773365183636907,-0.510301582561959,3349,11001002504
254,1154,-900,0.445216049382716,0.0979938271604938,-0.347222222222222,2592,11001002600
462,2884,-2422,0.495107296137339,0.0793133047210301,-0.415793991416309,5825,11001002702
331,1377,-1046,0.526778882938026,0.126625860749809,-0.400153022188217,2614,11001002703
247,1451,-1204,0.484797861677247,0.0825258937520882,-0.402271967925159,2993,11001002704
324,2281,-1957,0.518644838562983,0.0736698499317872,-0.444974988631196,4398,11001002801
1616,2340,-724,0.499466382070438,0.344930629669157,-0.154535752401281,4685,11001002802
785,2521,-1736,0.567409408057619,0.176682421787081,-0.390726986270538,4443,11001002900
342,2015,-1673,0.565852288682954,0.0960404380791912,-0.469811850603763,3561,11001003000
574,2095,-1521,0.540924348050607,0.148205525432481,-0.392718822618125,3873,11001003100
312,2880,-2568,0.564816630711904,0.061188468327123,-0.503628162384781,5099,11001003200
204,2005,-1801,0.524320083682008,0.053347280334728,-0.47097280334728,3824,11001003301
1264,1403,-139,0.576417419884963,0.519309778142975,-0.0571076417419885,2434,11001003302
1996,1563,433,0.3052734375,0.38984375,0.0845703125,5120,11001003400
1217,1873,-656,0.390127056863154,0.253488856488232,-0.136638200374922,4801,11001003500
532,2713,-2181,0.568167539267016,0.111413612565445,-0.456753926701571,4775,11001003600
200,1412,-1212,0.484224965706447,0.0685871056241427,-0.415637860082305,2916,11001003701
176,1559,-1383,0.536476256022023,0.0605643496214728,-0.475911906400551,2906,11001003702
818,1026,-208,0.57,0.454444444444444,-0.115555555555556,1800,11001003801
1656,2057,-401,0.525952441830734,0.42342111991818,-0.102531321912554,3911,11001003802
511,1583,-1072,0.609314857582756,0.196689761354888,-0.412625096227868,2598,11001003901
197,1345,-1148,0.665182987141444,0.0974282888229476,-0.567754698318497,2022,11001003902
448,2052,-1604,0.520680030449125,0.113676731793961,-0.407003298655164,3941,11001004001
1978,1933,45,0.587359465208143,0.601033120632027,0.0136736554238833,3291,11001004002
796,1254,-458,0.442172073342736,0.280677009873061,-0.161495063469676,2836,11001004100
1816,2178,-362,0.613866967305524,0.511837655016911,-0.102029312288613,3548,11001004201
1678,1578,100,0.553684210526316,0.588771929824561,0.0350877192982456,2850,11001004202
1689,2439,-750,0.549819657348963,0.380748422001803,-0.16907123534716,4436,11001004300
1619,2217,-598,0.646355685131195,0.47201166180758,-0.174344023323615,3430,11001004401
2160,1312,848,0.476225045372051,0.784029038112523,0.307803992740472,2755,11001004402
1316,1958,-642,0.552639006491674,0.371436635619532,-0.181202370872142,3543,11001004600
5249,2115,3134,0.537620742247077,1.33426537874936,0.796644636502288,3934,11001004702
634,1373,-739,0.412188531972381,0.190333233263284,-0.221855298709096,3331,11001004703
294,878,-584,0.451413881748072,0.151156812339332,-0.30025706940874,1945,11001004704
2334,1603,731,0.568439716312057,0.827659574468085,0.259219858156028,2820,11001004801
791,1932,-1141,0.531645569620253,0.217666483214089,-0.313979086406164,3634,11001004802
832,1762,-930,0.521301775147929,0.246153846153846,-0.275147928994083,3380,11001004901
1516,1972,-456,0.571759930414613,0.439547694984053,-0.13221223543056,3449,11001004902
936,1248,-312,0.620278330019881,0.465208747514911,-0.15506958250497,2012,11001005001
1373,1158,215,0.540363975734951,0.640690620625292,0.100326644890341,2143,11001005003
528,1945,-1417,0.503755503755504,0.136752136752137,-0.367003367003367,3861,11001005004
2351,1837,514,0.539025821596244,0.689847417840376,0.150821596244131,3408,11001005202
1463,1745,-282,0.585767035918093,0.491104397448808,-0.094662638469285,2979,11001005203
1112,1443,-331,0.573073868149325,0.441620333598094,-0.131453534551231,2518,11001005302
3388,1397,1991,0.43452566096423,1.05381026438569,0.619284603421462,3215,11001005303
13461,609,12852,0.264437689969605,5.84498480243161,5.58054711246201,2303,11001005501
4323,1415,2908,0.476752021563342,1.45653638814016,0.979784366576819,2968,11001005502
6133,976,5157,0.391653290529695,2.46107544141252,2.06942215088283,2492,11001005503
1461,739,722,0.254827586206897,0.503793103448276,0.248965517241379,2900,11001005601
2084,1125,959,0.274390243902439,0.508292682926829,0.23390243902439,4100,11001005602
12510,1205,11305,0.720693779904306,7.48205741626794,6.76136363636364,1672,11001005801
22252,621,21631,0.28951048951049,10.3738927738928,10.0843822843823,2145,11001005802
9084,1363,7721,0.520825372564005,3.47115017195262,2.95032479938861,2617,11001005900
362,1217,-855,0.490528012898025,0.145908907698509,-0.344619105199516,2481,11001006400
2557,1163,1394,0.445764660789575,0.980068991950939,0.534304331161365,2609,11001006500
1804,1060,744,0.489833641404806,0.833641404805915,0.343807763401109,2164,11001006600
6466,1879,4587,0.478482302011714,1.64654952890247,1.16806722689076,3927,11001006700
109,1308,-1199,0.584450402144772,0.048704200178731,-0.535746201966041,2238,11001006801
278,1394,-1116,0.54031007751938,0.107751937984496,-0.432558139534884,2580,11001006802
338,303,35,0.124742692466035,0.139151914368053,0.0144092219020173,2429,11001006804
759,1380,-621,0.493033226152197,0.271168274383708,-0.221864951768489,2799,11001006900
2039,1316,723,0.487949573600297,0.756025213199852,0.268075639599555,2697,11001007000
830,1620,-790,0.503418272218769,0.257924176507147,-0.245494095711622,3218,11001007100
95,71,24,0.023785594639866,0.0318257956448911,0.00804020100502513,2985,11001007201
882,2846,-1964,0.661399023936788,0.204973274459679,-0.456425749477109,4303,11001007202
444,1638,-1194,0.437033084311633,0.11846318036286,-0.318569903948773,3748,11001007203
386,668,-282,0.173913043478261,0.100494662848217,-0.0734183806300443,3841,11001007301
1275,1758,-483,0.398639455782313,0.289115646258503,-0.10952380952381,4410,11001007304
198,594,-396,0.471803018268467,0.157267672756156,-0.314535345512311,1259,11001007401
64,1266,-1202,0.484500574052813,0.0244929200153081,-0.460007654037505,2613,11001007403
118,1692,-1574,0.465218586747319,0.0324443222436074,-0.432774264503712,3637,11001007404
234,1269,-1035,0.35969387755102,0.0663265306122449,-0.293367346938776,3528,11001007406
36,1732,-1696,0.496132913205385,0.0103122314523059,-0.485820681753079,3491,11001007407
194,1118,-924,0.389954656435298,0.0676665504011162,-0.322288106034182,2867,11001007408
46,1594,-1548,0.415645371577575,0.0119947848761408,-0.403650586701434,3835,11001007409
579,1646,-1067,0.351184126306806,0.1235331768722,-0.227650949434606,4687,11001007502
517,1158,-641,0.458069620253165,0.204509493670886,-0.253560126582279,2528,11001007503
276,1116,-840,0.408791208791209,0.101098901098901,-0.307692307692308,2730,11001007504
530,2021,-1491,0.430641380779885,0.112934157255487,-0.317707223524398,4693,11001007601
149,1830,-1681,0.437275985663082,0.0356033452807646,-0.401672640382318,4185,11001007603
136,1775,-1639,0.466736786747305,0.0357612411254273,-0.430975545621878,3803,11001007604
144,1688,-1544,0.460824460824461,0.0393120393120393,-0.421512421512422,3663,11001007605
243,2130,-1887,0.407499521714176,0.0464893820547159,-0.361010139659461,5227,11001007703
76,1710,-1634,0.435446906035141,0.0193531958237841,-0.416093710211357,3927,11001007707
40,1127,-1087,0.437839937839938,0.0155400155400155,-0.422299922299922,2574,11001007708
117,993,-876,0.479247104247104,0.0564671814671815,-0.422779922779923,2072,11001007709
1083,1859,-776,0.405010893246187,0.235947712418301,-0.169063180827887,4590,11001007803
654,1433,-779,0.409545584452701,0.186910545870249,-0.222635038582452,3499,11001007804
234,1207,-973,0.349146658952849,0.0676887474689037,-0.281457911483946,3457,11001007806
49,1035,-986,0.489593188268685,0.0231788079470199,-0.466414380321665,2114,11001007807
393,1742,-1349,0.459388185654009,0.103639240506329,-0.355748945147679,3792,11001007808
301,1497,-1196,0.474484944532488,0.0954041204437401,-0.379080824088748,3155,11001007809
323,1995,-1672,0.480954676952748,0.0778688524590164,-0.403085824493732,4148,11001007901
133,996,-863,0.534048257372654,0.071313672922252,-0.462734584450402,1865,11001007903
417,1819,-1402,0.586206896551724,0.134386077989043,-0.451820818562681,3103,11001008001
822,1729,-907,0.513666072489602,0.244206773618538,-0.269459298871064,3366,11001008002
538,1653,-1115,0.524262607040913,0.170631144941326,-0.353631462099588,3153,11001008100
1274,1313,-39,0.487198515769944,0.472727272727273,-0.0144712430426716,2695,11001008200
