station,lines_serviced,system,geometry
Addison Road-Seat Pleasant,"Blue, Silver",WMATA,-76.8971|38.88614
Anacostia,Green,WMATA,-76.99528|38.86238
Archives-Navy Memorial-Penn Quarter,"Green, Yellow",WMATA,-77.02229|38.89414
Arlington Cemetery,Blue,WMATA,-77.06364|38.88481
Ashburn,Silver,WMATA,-77.49129547|39.00510972
Ballston-MU,"Orange, Silver",WMATA,-77.11142|38.88223
Benning Road,"Blue, Silver",WMATA,-76.9375|38.89053
Bethesda,Red,WMATA,-77.09403|38.98436
Braddock Road,"Blue, Yellow",WMATA,-77.05277|38.81432
Branch Ave,Green,WMATA,-76.91192|38.82697
Brookland-CUA,Red,WMATA,-76.99474|38.93367
Capitol Heights,"Blue, Silver",WMATA,-76.91329|38.88939
Capitol South,"Orange, Blue, Silver",WMATA,-77.00597|38.88609
Cheverly,"Orange, Silver",WMATA,-76.91627|38.91642
Clarendon,"Orange, Silver",WMATA,-77.09528|38.88757
Cleveland Park,Red,WMATA,-77.0586|38.93627
College Park-U of Md,Green,WMATA,-76.92776|38.97848
Columbia Heights,Green,WMATA,-77.03243|38.92906
Congress Heights,Green,WMATA,-76.9875|38.84587
Court House,"Orange, Silver",WMATA,-77.08473|38.89158
Crystal City,"Blue, Yellow",WMATA,-77.05144|38.85817
Deanwood,"Orange, Silver",WMATA,-76.93507|38.90838
Downtown Largo,"Blue, Silver",WMATA,-76.84458|38.9007
Dunn Loring-Merrifield,Orange,WMATA,-77.22723|38.88416
Dupont Circle,Red,WMATA,-77.04454|38.91122
East Falls Church,"Orange, Silver",WMATA,-77.15701|38.88629
Eastern Market,"Orange, Blue, Silver",WMATA,-76.99585|38.88448
Eisenhower Avenue,Yellow,WMATA,-77.07071|38.80062
Farragut North,Red,WMATA,-77.03926|38.90292
Farragut West,"Orange, Blue, Silver",WMATA,-77.04183|38.90162
Federal Center SW,"Orange, Blue, Silver",WMATA,-77.01562|38.8851
Federal Triangle,"Orange, Blue, Silver",WMATA,-77.02777|38.89404
Foggy Bottom-GWU,"Orange, Blue, Silver",WMATA,-77.05029|38.90105
Forest Glen,Red,WMATA,-77.04264|39.01563
Fort Totten,"Red, Green",WMATA,-77.00216|38.9523
Franconia-Springfield,Blue,WMATA,-77.1689|38.76636
Friendship Heights,Red,WMATA,-77.08573|38.9611
Gallery Pl-Chinatown,"Red, Green, Yellow",WMATA,-77.02189|38.8999
Georgia Ave-Petworth,Green,WMATA,-77.02419|38.93711
Glenmont,Red,WMATA,-77.05328|39.0617
Greenbelt,Green,WMATA,-76.91123|39.01114
Greensboro,Silver,WMATA,-77.23361078|38.92116301
Grosvenor-Strathmore,Red,WMATA,-77.10344|39.02928
Herndon,Silver,WMATA,-77.38484541|38.95297435
Huntington,Yellow,WMATA,-77.07526694|38.79398867
Hyattsville Crossing,Green,WMATA,-76.95628683|38.9656112
Innovation Center,Silver,WMATA,-77.4156335|38.96133847
Judiciary Square,Red,WMATA,-77.01757|38.89779
King St-Old Town,"Blue, Yellow",WMATA,-77.06021|38.80759
L'Enfant Plaza,"Orange, Blue, Yellow, Green, Silver",WMATA,-77.02181|38.88531
Landover,"Orange, Silver",WMATA,-76.89118|38.9337
Loudoun Gateway,Silver,WMATA,-77.46005997|38.99345196
