tabblk2020,st,stusps,stname,cty,ctyname,trct,trctname,bgrp,bgrpname,cbsa,cbsaname,zcta,zctaname,stplc,stplcname,ctycsub,ctycsubname,stcd118,stcd118name,stsldl,stsldlname,stsldu,stslduname,stschool,stschoolname,stsecon,stseconname,trib,tribname,tsub,tsubname,stanrc,stanrcname,mil,milname,stwib,stwibname,blklatdd,blklondd,createdate
110010001011000,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000101,"1.01 (District of Columbia, DC)",110010001011,"1 (Tract 1.01, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,9999999999999999999999,,11000001,01 District of Columbia WIB,38.9100683,-77.0528631,20241022
110010001011001,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000101,"1.01 (District of Columbia, DC)",110010001011,"1 (Tract 1.01, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,9999999999999999999999,,11000001,01 District of Columbia WIB,38.9099975,-77.0561970,20241022
110010001011002,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000101,"1.01 (District of Columbia, DC)",110010001011,"1 (Tract 1.01, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,9999999999999999999999,,11000001,01 District of Columbia WIB,38.9090878,-77.0508394,20241022
110010001011003,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000101,"1.01 (District of Columbia, DC)",110010001011,"1 (Tract 1.01, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,9999999999999999999999,,11000001,01 District of Columbia WIB,38.9094979,-77.0514369,20241022
110010001011004,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000101,"1.01 (District of Columbia, DC)",110010001011,"1 (Tract 1.01, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,9999999999999999999999,,11000001,01 District of Columbia WIB,38.9089462,-77.0552735,20241022
110010001011005,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000101,"1.01 (District of Columbia, DC)",110010001011,"1 (Tract 1.01, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,9999999999999999999999,,11000001,01 District of Columbia WIB,38.9081156,-77.0564523,20241022
110010001011006,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000101,"1.01 (District of Columbia, DC)",110010001011,"1 (Tract 1.01, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,9999999999999999999999,,11000001,01 District of Columbia WIB,38.9089553,-77.0564416,20241022
110010001011007,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000101,"1.01 (District of Columbia, DC)",110010001011,"1 (Tract 1.01, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,9999999999999999999999,,11000001,01 District of Columbia WIB,38.9064797,-77.0564235,20241022
110010001011008,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000101,"1.01 (District of Columbia, DC)",110010001011,"1 (Tract 1.01, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,9999999999999999999999,,11000001,01 District of Columbia WIB,38.9072834,-77.0564391,20241022
110010001011009,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000101,"1.01 (District of Columbia, DC)",110010001011,"1 (Tract 1.01, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,9999999999999999999999,,11000001,01 District of Columbia WIB,38.9097337,-77.0550921,20241022
110010001021000,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000102,"1.02 (District of Columbia, DC)",110010001021,"1 (Tract 1.02, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20008,20008,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,9999999999999999999999,,11000001,01 District of Columbia WIB,38.9176658,-77.0602308,20241022
110010001021001,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000102,"1.02 (District of Columbia, DC)",110010001021,"1 (Tract 1.02, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,9999999999999999999999,,11000001,01 District of Columbia WIB,38.9160670,-77.0623440,20241022
