w_geocode,h_geocode,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03,createdate
110010001023005,371190038092002,1,1,0,0,0,1,0,0,0,1,20231016
110010001023019,371830528113023,1,0,0,1,0,0,1,0,0,1,20231016
110010001023026,240338052011010,1,1,0,0,0,0,1,0,0,1,20231016
110010001023026,515102015001004,1,0,1,0,0,0,1,0,0,1,20231016
110010002011000,240054044023007,1,0,0,1,0,0,1,0,0,1,20231016
110010002011000,240317036021001,1,0,0,1,0,0,1,0,0,1,20231016
110010002011000,240338005071028,1,0,1,0,0,0,1,0,0,1,20231016
110010002011000,391336007061010,1,0,1,0,0,0,1,0,0,1,20231016
110010002011000,511076110201001,1,0,0,1,0,0,1,0,0,1,20231016
110010002022002,240338013021007,1,0,1,0,0,0,1,0,0,1,20231016
110010002024025,240317012192005,1,0,1,0,0,0,1,0,0,1,20231016
110010002024026,510411009192009,1,0,1,0,0,0,1,0,0,1,20231016
110010004002012,240317014173000,1,0,0,1,0,0,1,0,0,1,20231016
110010004002012,240338007071015,1,0,1,0,0,0,1,0,0,1,20231016
110010004002012,240338010051009,1,0,1,0,0,0,1,0,0,1,20231016
110010004002012,240338020022001,1,0,1,0,0,0,1,0,0,1,20231016
110010004002012,330079502002019,1,0,0,1,0,0,1,0,0,1,20231016
110010004002012,330099604011027,1,0,0,1,0,0,1,0,0,1,20231016
110010004002012,510131009004007,1,0,0,1,0,0,1,0,0,1,20231016
110010004002012,510594322011000,1,0,1,0,0,0,1,0,0,1,20231016
110010004002012,511076102012076,1,0,0,1,0,0,1,0,0,1,20231016
110010004002012,517402131042002,1,0,1,0,0,0,1,0,0,1,20231016
110010004002012,530330277014000,1,1,0,0,0,0,1,0,0,1,20231016
110010006004000,240317007241006,1,0,0,1,0,0,1,0,0,1,20231016
110010008021001,510594601002002,1,0,0,1,0,0,1,0,0,1,20231016
110010008021012,510010903001040,1,0,1,0,0,0,1,0,0,1,20231016
110010008021012,510594607012015,1,1,0,0,0,0,1,0,0,1,20231016
110010008031000,240317014144002,1,0,1,0,0,0,1,0,0,1,20231016
110010008042004,240338013122017,1,0,0,1,0,0,1,0,0,1,20231016
110010009021003,510594924001007,1,0,0,1,0,0,1,0,0,1,20231016
110010009021004,010810405022072,1,1,0,0,0,1,0,0,0,1,20231016
110010009031001,515102018041014,1,0,1,0,0,0,1,0,0,1,20231016
110010009031001,518303702002007,1,0,1,0,0,0,1,0,0,1,20231016
110010009042017,240178513012007,1,0,1,0,0,0,1,0,0,1,20231016
110010009042017,510594713031003,1,0,0,1,0,1,0,0,0,1,20231016
110010010021000,240317007063005,1,0,0,1,0,0,1,0,0,1,20231016
110010010021000,421330101204004,1,0,1,0,0,0,1,0,0,1,20231016
110010010042000,515102001091003,1,0,0,1,0,0,1,0,0,1,20231016
110010011002005,240178509021002,1,0,1,0,0,0,1,0,0,1,20231016
110010011002005,510594823013002,1,0,1,0,0,0,1,0,0,1,20231016
110010013041001,240317037023003,1,0,1,0,0,0,1,0,0,1,20231016
110010014012014,510594805041014,1,0,0,1,0,0,1,0,0,1,20231016
110010016001014,510594607022013,1,0,0,1,0,0,1,0,0,1,20231016
110010016004020,240317008221003,1,0,0,1,0,0,1,0,0,1,20231016
110010016004036,515102007033008,1,0,1,0,0,0,1,0,0,1,20231016
110010017022004,240317012231001,1,0,1,0,0,0,1,0,0,1,20231016
110010017022004,240317033014003,1,0,0,1,0,0,1,0,0,1,20231016
110010017022004,510330306002010,1,0,0,1,0,0,1,0,0,1,20231016
110010023021000,240317032013013,1,0,1,0,0,0,1,0,0,1,20231016
110010023021000,240338011063006,1,0,0,1,0,0,1,0,0,1,20231016
110010023021000,245101307005002,1,0,0,1,0,0,1,0,0,1,20231016
110010023021003,240037402031014,1,0,0,1,0,0,1,0,0,1,20231016
110010023021003,240338004102035,1,0,0,1,0,0,1,0,0,1,20231016
110010023021003,240338013082013,1,0,0,1,0,0,1,0,0,1,20231016
110010023021003,245100103001003,1,1,0,0,0,0,1,0,0,1,20231016
110010023021003,517308101001047,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240037022082003,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240037026013012,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,240037026021008,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240037066003004,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240037306063000,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240037312083001,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240037401033004,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240037401044003,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,240037403055000,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,240037406023005,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,240037407043000,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240054085052000,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,240054501003033,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240150312013006,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240178503001022,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,240178508011000,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240178509021009,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240178509043018,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,240178515012009,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,240217519051001,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240276026004000,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240276051041009,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,240276069052032,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,240317003063009,1,0,1,0,0,1,0,0,0,1,20231016
110010023023001,240317006131005,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240317007132003,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240317007151000,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240317008152003,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,240317008231012,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240317009052000,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,240317010072011,1,0,0,1,0,1,0,0,0,1,20231016
110010023023001,240317014155000,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,240317014172013,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,240317015061002,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,240317015063001,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240317029005010,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240317032071011,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240317045022010,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,240317055012006,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,240317057022009,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,240317058001002,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240338001061001,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240338001061016,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,240338001081008,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,240338002092008,2,0,0,2,0,0,2,0,0,2,20231016
110010023023001,240338002132030,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,240338004081014,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,240338004092008,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,240338004093018,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240338004093027,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240338005071005,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240338005141010,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240338005191000,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240338005221007,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240338007013002,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240338007052008,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,240338008003005,1,0,0,1,0,0,1,0,0,1,20231016
