w_geocode,h_geocode,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03,createdate
110010003001009,110010073013003,1,0,1,0,0,0,1,0,0,1,20231016
110010010043015,110010095071000,1,1,0,0,0,0,1,0,0,1,20231016
110010013034001,110010084022000,1,0,0,1,0,0,1,0,0,1,20231016
110010023021000,110010092032004,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,110010016001003,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,110010017022013,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,110010019014000,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,110010021023001,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,110010035001005,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,110010039021001,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,110010042011000,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,110010047042001,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,110010058025008,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,110010067002004,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,110010074061001,1,0,0,1,0,1,0,0,0,1,20231016
110010023023001,110010074073001,1,0,1,0,0,1,0,0,0,1,20231016
110010023023001,110010076053000,2,0,0,2,0,0,2,0,0,2,20231016
110010023023001,110010077034000,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,110010077073002,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,110010077092001,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,110010084022001,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,110010087021002,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,110010088022008,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,110010089031002,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,110010093014006,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,110010098072002,1,0,0,1,0,0,1,0,0,1,20231016
110010023023001,110010099022003,1,0,0,1,0,1,0,0,0,1,20231016
110010023023001,110010099072000,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,110010104002001,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,110010109001000,1,0,1,0,0,0,1,0,0,1,20231016
110010023023001,110010111002022,1,0,0,1,0,0,1,0,0,1,20231016
110010023023007,110010003002001,1,0,1,0,0,0,1,0,0,1,20231016
110010023023007,110010003002003,1,0,1,0,0,0,1,0,0,1,20231016
110010023023007,110010003002004,2,0,1,1,0,0,2,0,0,2,20231016
110010023023007,110010003003001,1,0,1,0,0,0,1,0,0,1,20231016
110010023023007,110010005012000,2,0,0,2,0,0,2,0,0,2,20231016
110010023023007,110010006001002,1,0,1,0,0,0,1,0,0,1,20231016
110010023023007,110010006003002,1,0,0,1,0,0,1,0,0,1,20231016
110010023023007,110010007022000,1,0,1,0,0,0,1,0,0,1,20231016
110010023023007,110010007032000,1,0,1,0,0,0,1,0,0,1,20231016
110010023023007,110010007032001,1,0,1,0,0,0,1,0,0,1,20231016
110010023023007,110010008043009,1,0,0,1,0,0,1,0,0,1,20231016
110010023023007,110010008043015,1,0,0,1,0,0,1,0,0,1,20231016
110010023023007,110010008043018,1,0,0,1,0,0,1,0,0,1,20231016
110010023023007,110010009022029,1,0,1,0,0,0,1,0,0,1,20231016
110010023023007,110010009031001,3,0,3,0,0,0,3,0,0,3,20231016
110010023023007,110010009041013,1,0,0,1,0,0,1,0,0,1,20231016
110010023023007,110010010022005,2,0,2,0,0,1,1,0,0,2,20231016
110010023023007,110010010024000,1,0,1,0,0,0,1,0,0,1,20231016
110010023023007,110010010024001,1,0,1,0,0,0,1,0,0,1,20231016
110010023023007,110010010033000,1,0,1,0,0,0,1,0,0,1,20231016
110010023023007,110010010033006,1,0,1,0,0,0,1,0,0,1,20231016
